No,Sembol,Grup,Element,Atom Ağırlığı,Oda Sıcaklığındaki Hali,Keşif Yılı,Periyot,Kullanım Alanı,Ad Kökeni
27,Co,8B,Kobalt,58.933,Katı,1735,4,Pil ve mavi boya,Almanca cin kobold
28,Ni,8B,Nikel,58.693,Katı,1751,4,Paslanmaz çelik ve madeni para,Almanca kupfernickel
29,Cu,1B,Bakır,63.546,Katı,Antik çağ,4,Elektrik teli ve tesisat,Kıbrıs adası Cuprum
30,Zn,2B,Çinko,65.38,Katı,1746,4,Galvanizleme ve pil,Almanca zink
31,Ga,3A,Galyum,69.723,Katı,1875,4,LED ve yarı iletken,Latince Galya
32,Ge,4A,Germanyum,72.630,Katı,1886,4,Fiber optik ve elektronik,Almanya ülkesi
33,As,5A,Arsenik,74.922,Katı,Orta çağ,4,Yarı iletken ve pestisit,Yunanca zarnikon
34,Se,6A,Selenyum,78.971,Katı,1817,4,Fotokopi ve cam,Yunanca ay Selene
35,Br,7A,Brom,79.904,Sıvı,1826,4,Alev geciktirici ve ilaç,Yunanca pis koku bromos
36,Kr,8A,Kripton,83.798,Gaz,1898,4,Yüksek verimli ampul,Yunanca gizli kryptos
37,Rb,1A,Rubidyum,85.468,Katı,1861,5,Atom saati ve araştırma,Latince koyu kırmızı rubidus
38,Sr,2A,Stronsiyum,87.62,Katı,1790,5,Havai fişek kırmızısı,İskoçya Strontian köyü
39,Y,3B,İtriyum,88.906,Katı,1794,5,LED ve süper iletken,İsveç Ytterby köyü
40,Zr,4B,Zirkonyum,91.224,Katı,1789,5,Nükleer reaktör ve mücevher,Zirkon minerali
41,Nb,5B,Niyobyum,92.906,Katı,1801,5,Süper iletken mıknatıs,Mitolojik Niobe
42,Mo,6B,Molibden,95.95,Katı,1778,5,Yüksek sıcaklık çeliği,Yunanca kurşun molybdos
43,Tc,7B,Teknesyum,98,Katı,1937,5,Tıbbi görüntüleme,Yunanca yapay technetos
44,Ru,8B,Rutenyum,101.07,Katı,1844,5,Elektronik kontak ve katalizör,Latince Rusya Ruthenia
45,Rh,8B,Rodyum,102.906,Katı,1803,5,Katalitik konvertör,Yunanca gül rhodon
46,Pd,8B,Paladyum,106.42,Katı,1803,5,Katalizör ve mücevher,Pallas asteroidi
47,Ag,1B,Gümüş,107.868,Katı,Antik çağ,5,Takı ve elektronik,Latince argentum
48,Cd,2B,Kadmiyum,112.414,Katı,1817,5,Pil ve pigment,Yunanca Kadmos toprağı
49,In,3A,İndiyum,114.818,Katı,1863,5,Dokunmatik ekran kaplaması,İndigo mavisi rengi
50,Sn,4A,Kalay,118.710,Katı,Antik çağ,5,Lehim ve teneke kaplama,Latince stannum
51,Sb,5A,Antimon,121.760,Katı,Antik çağ,5,Alev geciktirici ve alaşım,Latince stibium
52,Te,6A,Tellür,127.60,Katı,1782,5,Güneş paneli ve alaşım,Latince dünya tellus
53,I,7A,İyot,126.904,Katı,1811,5,Antiseptik ve tuz katkısı,Yunanca menekşe iodes
54,Xe,8A,Ksenon,131.293,Gaz,1898,5,Projeksiyon lambası ve anestezi,Yunanca yabancı xenos
