No,Fotoğrafçı,Yıl,Fotoğraf,Konu/Olay,Önemi,Çekim Yeri,Renk,Görsel
12,Ansel Adams,1941,Hernandez Üzerinde Ay Doğuşu,Yeni Meksika manzarası,Manzara fotoğrafçılığının teknik zirvesi,New Mexico,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Moonrise%2C_Hernandez%2C_New_Mexico_%28cropped%29.jpg/330px-Moonrise%2C_Hernandez%2C_New_Mexico_%28cropped%29.jpg
13,Joe Rosenthal,1945,Iwo Jima'da Bayrağın Dikilişi,II. Dünya Savaşı,Pulitzer ödüllü savaş karesi,Iwo Jima,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Raising_the_Flag_on_Iwo_Jima%2C_larger_-_edit1.jpg/330px-Raising_the_Flag_on_Iwo_Jima%2C_larger_-_edit1.jpg
14,Yevgeni Halday,1945,Reichstag Üzerinde Bayrak,Berlin'in düşüşü,Avrupa'da savaşın bitişini simgeler,Berlin,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Raising_a_flag_over_the_Reichstag_-_Restoration.jpg/330px-Raising_a_flag_over_the_Reichstag_-_Restoration.jpg
15,Alfred Eisenstaedt,1945,Times Meydanında V-J Günü,Savaşın bitiş kutlaması,Zafer sevincinin simge görüntüsü,New York,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/en/9/95/Legendary_kiss_V%E2%80%93J_day_in_Times_Square_Alfred_Eisenstaedt.jpg
16,Philippe Halsman,1948,Dali Atomicus,Sürrealist portre,Kurgulu portre fotoğrafçılığının klasiği,New York,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Dal%C3%AD_Atomicus_%28final_version%29.jpg/330px-Dal%C3%AD_Atomicus_%28final_version%29.jpg
17,Ara Güler,1956,Galata Köprüsü Balıkçıları,İstanbul gündelik hayatı,Türk fotoğrafçılığının uluslararası simgesi,İstanbul,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ara_Guler.JPG/330px-Ara_Guler.JPG
18,Harold Edgerton,1957,Süt Damlası Tacı,Yüksek hızlı fotoğraf,Bilimsel görüntülemede çığır açtı,Massachusetts,Renkli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Doc_Edgerton_1963.jpg/330px-Doc_Edgerton_1963.jpg
19,Alberto Korda,1960,Kahraman Gerillanın Portresi,Che Guevara portresi,Dünyada en çok çoğaltılan fotoğraf,Havana,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg/330px-Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg
20,William Anders,1968,Dünya Doğuşu,Apollo 8 görevi,Çevre hareketine ilham verdi,Ay yörüngesi,Renkli,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/NASA-Apollo8-Dec24-Earthrise.jpg/330px-NASA-Apollo8-Dec24-Earthrise.jpg
21,Neil Armstrong,1969,Ay Yüzeyinde Astronot,Apollo 11 görevi,İnsanın Ay'a inişinin belgesi,Ay yüzeyi,Renkli,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/A_Man_on_the_Moon%2C_AS11-40-5903_%28cropped%29.jpg/330px-A_Man_on_the_Moon%2C_AS11-40-5903_%28cropped%29.jpg
22,Nick Ut,1972,Napalm Kızı,Vietnam Savaşı,Savaşın sivillere etkisini gösteren Pulitzer ödüllü kare,Trang Bang,Siyah-Beyaz,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/The_Terror_of_War.jpg/330px-The_Terror_of_War.jpg
23,Apollo 17 Mürettebatı,1972,Mavi Bilye,Dünya'nın uzaydan görüntüsü,Gezegenin bütün olarak ilk net görüntülerinden,Uzay,Renkli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Blue_Marble%2C_AS17-148-22727.jpg/330px-The_Blue_Marble%2C_AS17-148-22727.jpg
24,Steve McCurry,1984,Afgan Kızı,Afgan mültecileri,National Geographic'in en tanınan kapağı,Peşaver,Renkli,https://upload.wikimedia.org/wikipedia/en/b/b4/Sharbat_Gula.jpg
25,Jeff Widener,1989,Tank Adam,Tiananmen Meydanı olayları,Sivil direnişin simge görüntüsü,Pekin,Renkli,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Tank_Man_%28Tiananmen_Square_protester%29.jpg/330px-Tank_Man_%28Tiananmen_Square_protester%29.jpg
