No,Yaşadığı Yıllar,Ülke,Devlet Adamı,Görevi,Dönem,Başlıca İcraatı,Bağlı Olduğu Yönetim/Partisi,En Bilinen İlkesi/Sözü,Görsel
12,1800-1858,Osmanlı,Mustafa Reşid Paşa,Sadrazam,1846-1858,Tanzimat Fermanı'nın ilanına öncülük etti,Osmanlı Devleti,Tanzimat reformları,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Resid_pasha_%28cropped%29.jpg/330px-Resid_pasha_%28cropped%29.jpg
13,1822-1884,Osmanlı,Mithat Paşa,Sadrazam,1876-1877,Kanun-i Esasi'nin hazırlanmasını sağladı,Osmanlı Devleti,Meşrutiyet ve anayasa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Nadar_-_Portrait_of_Midhat_Pasha.jpg/330px-Nadar_-_Portrait_of_Midhat_Pasha.jpg
14,1490-1588,Osmanlı,Mimar Sinan,Hassa Başmimarı,1538-1588,300'den fazla eser ve Selimiye Camii,Osmanlı Devleti,Kalıcı ve kusursuz eser,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Mimar_Sinan%2C_architecte_de_Soliman_le_Magnifique.jpg/330px-Mimar_Sinan%2C_architecte_de_Soliman_le_Magnifique.jpg
15,1018-1092,Büyük Selçuklu,Nizamülmülk,Vezir,1064-1092,Nizamiye Medreseleri ve Siyasetname eseri,Büyük Selçuklu,Adalet dairesi (Siyasetname),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Nizam_al-Mulk_tomb_2.JPG/330px-Nizam_al-Mulk_tomb_2.JPG
16,646-726,Göktürk,Tonyukuk,Vezir,682-726,II. Göktürk Devleti'nin yeniden kuruluşunun mimarı,Göktürk Devleti,Bilgelikle devlet yönetimi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Bilge_Tonyukuk_-_Orkhon_Inscriptions.jpeg/330px-Bilge_Tonyukuk_-_Orkhon_Inscriptions.jpeg
17,1815-1898,Almanya,Otto von Bismarck,Şansölye,1871-1890,Alman siyasi birliğini sağladı,Alman İmparatorluğu,Kan ve demir politikası,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Bundesarchiv_Bild_146-2005-0057%2C_Otto_von_Bismarck.jpg/330px-Bundesarchiv_Bild_146-2005-0057%2C_Otto_von_Bismarck.jpg
18,1876-1967,Almanya,Konrad Adenauer,Şansölye,1949-1963,Savaş sonrası Almanya'yı yeniden inşa etti,Hristiyan Demokrat Birlik,Batı ittifakı çizgisi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Bundesarchiv_B_145_Bild-F078072-0004%2C_Konrad_Adenauer.jpg/330px-Bundesarchiv_B_145_Bild-F078072-0004%2C_Konrad_Adenauer.jpg
19,1874-1965,İngiltere,Winston Churchill,Başbakan,1940-1945,II. Dünya Savaşı'nda direnişi yönetti,Muhafazakar Parti,Asla teslim olmayın,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sir_Winston_Churchill_-_19086236948.jpg/330px-Sir_Winston_Churchill_-_19086236948.jpg
20,1533-1603,İngiltere,I. Elizabeth,Kraliçe,1558-1603,İngiltere'yi büyük bir deniz gücü yaptı,Tudor Hanedanı,Güçlü ve bağımsız İngiltere,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Darnley_stage_3.jpg/330px-Darnley_stage_3.jpg
21,1890-1970,Fransa,Charles de Gaulle,Cumhurbaşkanı,1959-1969,Beşinci Cumhuriyeti kurdu,Cumhuriyetçi hareket,Büyük Fransa ideali,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/De_Gaulle-OWI.jpg/330px-De_Gaulle-OWI.jpg
22,1809-1865,ABD,Abraham Lincoln,Başkan,1861-1865,Köleliği kaldırdı ve ülke birliğini korudu,Cumhuriyetçi Parti,Halkın halk tarafından yönetimi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg/330px-Abraham_Lincoln_O-77_matte_collodion_print.jpg
23,1732-1799,ABD,George Washington,Başkan,1789-1797,ABD'nin ilk başkanı ve kurucu babası,Federalist çizgi,Tarafsızlık ve birlik,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/330px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg
24,1882-1945,ABD,Franklin D. Roosevelt,Başkan,1933-1945,New Deal programı ve savaş yönetimi,Demokrat Parti,New Deal programı,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/FDR_1944_Color_Portrait.jpg/330px-FDR_1944_Color_Portrait.jpg
25,1869-1948,Hindistan,Mahatma Gandhi,Bağımsızlık Önderi,1915-1948,Pasif direnişle bağımsızlığı kazandırdı,Hindistan Kongre Partisi,Pasif direniş (Satyagraha),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Mahatma-Gandhi%2C_studio%2C_1931.jpg/330px-Mahatma-Gandhi%2C_studio%2C_1931.jpg
26,1918-2013,Güney Afrika,Nelson Mandela,Cumhurbaşkanı,1994-1999,Apartheid rejimini sona erdirdi,Afrika Ulusal Kongresi,Uzlaşı ve barış,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Nelson_Mandela%2C_2000_%285%29_%28cropped%29.jpg/330px-Nelson_Mandela%2C_2000_%285%29_%28cropped%29.jpg
27,1923-2015,Singapur,Lee Kuan Yew,Başbakan,1959-1990,Singapur'u dünyanın en zengin ülkelerinden yaptı,Halkın Hareket Partisi,Disiplinli kalkınma,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Lee_Kuan_Yew.jpg/330px-Lee_Kuan_Yew.jpg
28,1904-1997,Çin,Deng Xiaoping,Devlet Başkanı,1978-1989,Çin ekonomisini dünyaya açtı,Çin Komünist Partisi,Rengi ne olursa olsun fare tutan kedi makbuldür,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Deng_Xiaoping_and_Jimmy_Carter_at_the_arrival_ceremony_for_the_Vice_Premier_of_China._-_NARA_-_183157-restored%28cropped%29.jpg/330px-Deng_Xiaoping_and_Jimmy_Carter_at_the_arrival_ceremony_for_the_Vice_Premier_of_China._-_NARA_-_183157-restored%28cropped%29.jpg
29,1870-1924,Rusya,Vladimir Lenin,Devlet Başkanı,1917-1924,Sovyetler Birliği'ni kurdu,Bolşevik Parti,Tüm iktidar sovyetlere,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Lenin_in_1920_%28cropped%29.jpg/330px-Lenin_in_1920_%28cropped%29.jpg
30,1783-1830,Venezuela,Simon Bolivar,Bağımsızlık Önderi,1810-1830,Güney Amerika'nın bağımsızlığına öncülük etti,Bağımsızlık hareketi,Birleşik Latin Amerika,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Sim%C3%B3n_Bol%C3%ADvar._Toro_Moreno%2C_Luis._1922%2C_Legislative_Palace%2C_La_Paz.png/330px-Sim%C3%B3n_Bol%C3%ADvar._Toro_Moreno%2C_Luis._1922%2C_Legislative_Palace%2C_La_Paz.png
31,1924-2015,Türkiye,Süleyman Demirel,Cumhurbaşkanı,1993-2000,Barajlar ve karayolu yatırımlarına öncülük etti,Adalet Partisi ve DYP,Büyük Türkiye ideali,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Suleyman_Demirel_1998.jpg/330px-Suleyman_Demirel_1998.jpg
32,1925-2006,Türkiye,Bülent Ecevit,Başbakan,1974-2002,Kıbrıs Barış Harekatı'nı başlattı,CHP ve DSP,Toprak işleyenin su kullananın,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/B%C3%BClent_Ecevit-Davos_2000_cropped.jpg/330px-B%C3%BClent_Ecevit-Davos_2000_cropped.jpg
33,1874-1921,Osmanlı,Talat Paşa,Sadrazam,1917-1918,II. Meşrutiyet'in ilanına öncülük etti,İttihat ve Terakki Cemiyeti,Meşrutiyet ve merkeziyetçilik,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Mehmed_talat.jpg/330px-Mehmed_talat.jpg
34,1743-1826,ABD,Thomas Jefferson,Başkan,1801-1809,Bağımsızlık Bildirgesi'ni kaleme aldı,Demokrat-Cumhuriyetçi Parti,Tüm insanlar eşit yaratılmıştır,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg/330px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg
35,1893-1976,Çin,Mao Zedong,Devlet Başkanı,1949-1976,Çin Halk Cumhuriyeti'ni kurdu,Çin Komünist Partisi,Siyasi iktidar namlunun ucundadır,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mao_Zedong_1950_Portrait_%283x4_cropped%29%282%29.jpg/330px-Mao_Zedong_1950_Portrait_%283x4_cropped%29%282%29.jpg
36,MÖ 495-MÖ 429,Antik Yunan,Perikles,Devlet Adamı,MÖ 461-MÖ 429,Atina demokrasisini ve Parthenon'u geliştirdi,Atina Demokrasisi,Altın Çağ ideali,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Pericles_Pio-Clementino_Inv269_n2.jpg/330px-Pericles_Pio-Clementino_Inv269_n2.jpg
37,MÖ 63-MS 14,Roma,Augustus,İmparator,MÖ 27-MS 14,Roma İmparatorluğu'nu kurdu,Roma İmparatorluğu,Pax Romana barışı,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Statue-Augustus.jpg/330px-Statue-Augustus.jpg
38,482-565,Bizans,I. Justinianus,İmparator,527-565,Roma hukukunu derledi ve Ayasofya'yı yaptırdı,Bizans İmparatorluğu,Corpus Juris Civilis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Mosaic_of_Justinianus_I_-_Basilica_San_Vitale_%28Ravenna%29.jpg/330px-Mosaic_of_Justinianus_I_-_Basilica_San_Vitale_%28Ravenna%29.jpg
39,763-809,Abbasi,Harun Reşid,Halife,786-809,Bağdat'ı bilim ve kültür merkezi yaptı,Abbasi Halifeliği,Bilgelik Evi ideali,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/H%C4%81r%C5%ABn_al-Rash%C4%ABd.png/330px-H%C4%81r%C5%ABn_al-Rash%C4%ABd.png
40,1878-1953,Sovyetler Birliği,Josef Stalin,Devlet Başkanı,1924-1953,Ağır sanayileşme ve savaş yönetimi,Sovyetler Birliği Komünist Partisi,Tek ülkede sosyalizm,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/StalinCropped1943.jpg/330px-StalinCropped1943.jpg
41,1886-1973,İsrail,David Ben Gurion,Başbakan,1948-1963,İsrail Devleti'nin kuruluşunu ilan etti,İşçi Partisi,Devlet kurma azmi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/David_Ben-Gurion_%28D597-087%29.jpg/330px-David_Ben-Gurion_%28D597-087%29.jpg
42,1918-1970,Mısır,Cemal Abdül Nasır,Devlet Başkanı,1954-1970,Süveyş Kanalı'nı millileştirdi,Arap Sosyalist Birliği,Arap milliyetçiliği,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Nasser_in_1969.jpg/330px-Nasser_in_1969.jpg
43,1858-1919,ABD,Theodore Roosevelt,Başkan,1901-1909,Panama Kanalı ve doğa korumacılığı,Cumhuriyetçi Parti,Yumuşak konuş ama güçlü ol,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Theodore_Roosevelt_by_the_Pach_Bros.jpg/330px-Theodore_Roosevelt_by_the_Pach_Bros.jpg
44,1889-1964,Hindistan,Jawaharlal Nehru,Başbakan,1947-1964,Modern ve laik Hindistan'ı inşa etti,Hindistan Kongre Partisi,Bağlantısızlık politikası,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Nehru_family.jpg/330px-Nehru_family.jpg
45,1913-1992,Almanya,Willy Brandt,Şansölye,1969-1974,Doğu Bloku'yla yakınlaşma politikası,Sosyal Demokrat Parti,Ostpolitik açılımı,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bundesarchiv_B_145_Bild-F057884-0009%2C_Willy_Brandt.jpg/330px-Bundesarchiv_B_145_Bild-F057884-0009%2C_Willy_Brandt.jpg
46,1925-2013,İngiltere,Margaret Thatcher,Başbakan,1979-1990,Özelleştirme ve serbest piyasa reformları,Muhafazakar Parti,Demir Leydi kararlılığı,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Margaret_Thatcher_stock_portrait_%28cropped%29.jpg/330px-Margaret_Thatcher_stock_portrait_%28cropped%29.jpg
47,1810-1861,İtalya,Camillo Cavour,Başbakan,1861,İtalyan siyasi birliğinin mimarı,Piyemonte Krallığı,İtalyan birliği ülküsü,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Camillo_Benso_Cavour_di_Ciseri.jpg/330px-Camillo_Benso_Cavour_di_Ciseri.jpg
48,1773-1859,Avusturya,Klemens von Metternich,Şansölye,1821-1848,Viyana Kongresi'yle Avrupa düzenini kurdu,Avusturya İmparatorluğu,Denge ve istikrar,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Prince_Metternich_by_Lawrence.jpeg/330px-Prince_Metternich_by_Lawrence.jpeg
49,1866-1925,Çin,Sun Yat-sen,Devlet Başkanı,1912,Çin Cumhuriyeti'nin kurucusu,Kuomintang,Üç Halk İlkesi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Sun_Yat_Sen_portrait_2.jpg/330px-Sun_Yat_Sen_portrait_2.jpg
50,1898-1978,İsrail,Golda Meir,Başbakan,1969-1974,İsrail'in ilk kadın başbakanı,İşçi Partisi,Kararlı diplomasi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Golda_Meir_03265u.jpg/330px-Golda_Meir_03265u.jpg
