No,Ülke,Kuruluş Yılı,Kulüp,Şehir,Şampiyonlar Ligi Kupası,Lig,Stadyum,Lakap,Görsel
16,İtalya,1927,Roma,Roma,0,Serie A,Stadio Olimpico,Giallorossi,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/AS_Roma_logo_%282017%29.svg/330px-AS_Roma_logo_%282017%29.svg.png
17,İtalya,1926,Napoli,Napoli,0,Serie A,Diego Maradona,Partenopei,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/SSC_Napoli_2025_%28white_and_azure%29.svg/330px-SSC_Napoli_2025_%28white_and_azure%29.svg.png
18,Fransa,1970,Paris Saint-Germain,Paris,1,Ligue 1,Parc des Princes,Les Parisiens,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Paris_Saint-Germain_F.C..svg/330px-Paris_Saint-Germain_F.C..svg.png
19,Fransa,1899,Marsilya,Marsilya,1,Ligue 1,Velodrome,Les Olympiens,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Olympique_de_Marseille_2026_logo.svg/330px-Olympique_de_Marseille_2026_logo.svg.png
20,Hollanda,1900,Ajax,Amsterdam,4,Eredivisie,Johan Cruyff Arena,De Godenzonen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Logo_AFC_Ajax_%281928-1991%2C_2025-%29.png/330px-Logo_AFC_Ajax_%281928-1991%2C_2025-%29.png
21,Hollanda,1913,PSV Eindhoven,Eindhoven,1,Eredivisie,Philips Stadion,Boeren,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/PSV_Eindhoven.svg/330px-PSV_Eindhoven.svg.png
22,Hollanda,1908,Feyenoord,Rotterdam,1,Eredivisie,De Kuip,De Stadionclub,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Feyenoord.png/330px-Feyenoord.png
23,Portekiz,1893,Porto,Porto,2,Primeira Liga,Estadio do Dragao,Dragões,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/FC_Porto.svg/330px-FC_Porto.svg.png
24,Portekiz,1904,Benfica,Lizbon,2,Primeira Liga,Estadio da Luz,As Águias,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/SL_Benfica_logo.svg/330px-SL_Benfica_logo.svg.png
25,Portekiz,1906,Sporting Lizbon,Lizbon,0,Primeira Liga,Jose Alvalade,Leões,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Sporting_Clube_de_Portugal_2026.svg/330px-Sporting_Clube_de_Portugal_2026.svg.png
26,İskoçya,1887,Celtic,Glasgow,1,İskoçya Premiership,Celtic Park,The Bhoys,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Celtic_FC_crest.svg/330px-Celtic_FC_crest.svg.png
27,Türkiye,1905,Galatasaray,İstanbul,0,Süper Lig,Rams Park,Cim Bom,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Galatasaray_S.K._Logo_2026_5-stars.svg/330px-Galatasaray_S.K._Logo_2026_5-stars.svg.png
28,Türkiye,1907,Fenerbahçe,İstanbul,0,Süper Lig,Şükrü Saracoğlu,Sarı Kanaryalar,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Fenerbah%C3%A7e.svg/330px-Fenerbah%C3%A7e.svg.png
29,Türkiye,1903,Beşiktaş,İstanbul,0,Süper Lig,Tüpraş Stadyumu,Kara Kartallar,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/BesiktasJK-Logo.svg/330px-BesiktasJK-Logo.svg.png
30,Türkiye,1967,Trabzonspor,Trabzon,0,Süper Lig,Şenol Güneş Stadyumu,Bordo Mavi,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Trabzonspor_Amblem.svg/330px-Trabzonspor_Amblem.svg.png
31,İngiltere,1865,Nottingham Forest,Nottingham,2,Premier Lig,City Ground,The Tricky Trees,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Nottingham_Forest_F.C._logo.svg/330px-Nottingham_Forest_F.C._logo.svg.png
32,İngiltere,1874,Aston Villa,Birmingham,1,Premier Lig,Villa Park,The Villans,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/330px-Aston_Villa_FC_new_crest.svg.png
33,Romanya,1947,Steaua Bükreş,Bükreş,1,Romanya Ligi,Steaua Stadyumu,Militarii,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Fcsb-logo.svg/330px-Fcsb-logo.svg.png
34,Sırbistan,1945,Kızılyıldız,Belgrad,1,Sırbistan SuperLigi,Rajko Mitic,Zvezda,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Red_Star_Belgrade_crest.svg/330px-Red_Star_Belgrade_crest.svg.png
35,İspanya,1919,Valencia,Valensiya,0,La Liga,Mestalla,Los Che,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Valenciacf.svg/330px-Valenciacf.svg.png
36,İspanya,1923,Villarreal,Villarreal,0,La Liga,Estadio de la Ceramica,Submarino Amarillo,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Villarreal_CF_logo-en.svg/330px-Villarreal_CF_logo-en.svg.png
37,İtalya,1900,Lazio,Roma,0,Serie A,Stadio Olimpico,Biancocelesti,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/S.S._Lazio_badge.svg/330px-S.S._Lazio_badge.svg.png
38,İtalya,1926,Fiorentina,Floransa,0,Serie A,Artemio Franchi,Viola,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/ACF_Fiorentina_-_logo_%28Italy%2C_2022%29.svg/330px-ACF_Fiorentina_-_logo_%28Italy%2C_2022%29.svg.png
39,İtalya,1907,Atalanta,Bergamo,0,Serie A,Gewiss Stadyumu,La Dea,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Atalanta_BC_new_logo.svg/330px-Atalanta_BC_new_logo.svg.png
40,Almanya,2009,RB Leipzig,Leipzig,0,Bundesliga,Red Bull Arena,Die Roten Bullen,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/330px-RB_Leipzig_2014_logo.svg.png
41,Almanya,1904,Bayer Leverkusen,Leverkusen,0,Bundesliga,BayArena,Die Werkself,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/330px-Bayer_04_Leverkusen_logo.svg.png
42,Almanya,1945,VfL Wolfsburg,Wolfsburg,0,Bundesliga,Volkswagen Arena,Die Wölfe,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/VfL_Wolfsburg_logo_2026.svg/330px-VfL_Wolfsburg_logo_2026.svg.png
43,Almanya,1899,Eintracht Frankfurt,Frankfurt,0,Bundesliga,Deutsche Bank Park,Die Adler,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Eintracht_Frankfurt_crest.svg/330px-Eintracht_Frankfurt_crest.svg.png
44,Fransa,1950,Lyon,Lyon,0,Ligue 1,Groupama Stadyumu,Les Gones,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Olympique_Lyonnais_logo.svg/330px-Olympique_Lyonnais_logo.svg.png
45,Monako,1924,Monaco,Monako,0,Ligue 1,Louis II,Les Monegasques,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/LogoASMonacoFC2021.svg/330px-LogoASMonacoFC2021.svg.png
46,Fransa,1944,Lille,Lille,0,Ligue 1,Pierre-Mauroy,Les Dogues,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Lille_OSC_2018_logo.svg/330px-Lille_OSC_2018_logo.svg.png
47,Ukrayna,1936,Shakhtar Donetsk,Donetsk,0,Ukrayna Premier Ligi,OSK Metalist,Girnyaki,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/FC_Shakhtar_Donetsk.svg/330px-FC_Shakhtar_Donetsk.svg.png
48,Rusya,1925,Zenit,Saint Petersburg,0,Rusya Premier Ligi,Krestovsky,Sine-Belo-Golubye,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/FC_Zenit_Saint_Petersburg_crest.svg/330px-FC_Zenit_Saint_Petersburg_crest.svg.png
49,İskoçya,1872,Rangers,Glasgow,0,İskoçya Premiership,Ibrox,The Gers,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Rangers_FC.svg/330px-Rangers_FC.svg.png
50,Belçika,1908,Anderlecht,Brüksel,0,Belçika Pro Ligi,Lotto Park,Mauve,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/R.S.C._Anderlecht.svg/330px-R.S.C._Anderlecht.svg.png
51,Belçika,1891,Club Brugge,Bruges,0,Belçika Pro Ligi,Jan Breydel,Blauw-Zwart,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Club_brugge.png/330px-Club_brugge.png
52,Yunanistan,1925,Olympiakos,Pire,0,Yunanistan Süper Ligi,Georgios Karaiskakis,Thrylos,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Olympiacos_FC_crest.svg/330px-Olympiacos_FC_crest.svg.png
53,Yunanistan,1908,Panathinaikos,Atina,0,Yunanistan Süper Ligi,Apostolos Nikolaidis,Trifylli,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Panathinaikos_F.C._logo.svg/330px-Panathinaikos_F.C._logo.svg.png
54,Hırvatistan,1945,Dinamo Zagreb,Zagreb,0,Hırvatistan HNL,Maksimir,Modri,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Logo_GNK_Dinamo_Zagreb_%282019%29.svg/330px-Logo_GNK_Dinamo_Zagreb_%282019%29.svg.png
55,Türkiye,1990,Başakşehir,İstanbul,0,Süper Lig,Başakşehir Fatih Terim,Turuncu-Lacivert,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_logo.svg/330px-%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_logo.svg.png
