No,Yıl,Taraflar,Savaş,Kazanan,Yer,Süre,Sonuç/Önemi,Savaş Türü,Komutanlar
14,1473,Osmanlı - Akkoyunlu,Otlukbeli Savaşı,Osmanlı,Erzincan,1 gün,Doğu Anadolu Osmanlı'ya bağlandı,Meydan savaşı,Fatih Sultan Mehmed ve Uzun Hasan
15,1514,Osmanlı - Safevi,Çaldıran Savaşı,Osmanlı,Çaldıran - Van,1 gün,Doğu Anadolu güvence altına alındı,Meydan savaşı,Yavuz Sultan Selim ve Şah İsmail
16,1516,Osmanlı - Memlük,Mercidabık Savaşı,Osmanlı,Halep - Suriye,1 gün,Suriye Osmanlı topraklarına katıldı,Meydan savaşı,Yavuz Sultan Selim ve Kansu Gavri
17,1517,Osmanlı - Memlük,Ridaniye Savaşı,Osmanlı,Kahire - Mısır,1 gün,Halifelik Osmanlı'ya geçti,Meydan savaşı,Yavuz Sultan Selim ve Tomanbay
18,1526,Osmanlı - Macaristan,Mohaç Meydan Savaşı,Osmanlı,Mohaç - Macaristan,2 saat,Macaristan Krallığı yıkıldı,Meydan savaşı,Kanuni Sultan Süleyman ve II. Layoş
19,1529,Osmanlı - Avusturya,I. Viyana Kuşatması,Sonuçsuz,Viyana - Avusturya,20 gün,Osmanlı Orta Avrupa'ya ulaştı,Kuşatma,Kanuni Sultan Süleyman ve Salm Kontu
20,1538,Osmanlı - Haçlı Donanması,Preveze Deniz Savaşı,Osmanlı,Preveze - Yunanistan,1 gün,Akdeniz Türk gölü haline geldi,Deniz savaşı,Barbaros Hayreddin ve Andrea Doria
21,1571,Osmanlı - Haçlı Donanması,İnebahtı Deniz Savaşı,Haçlı Donanması,İnebahtı - Yunanistan,1 gün,Osmanlı donanması büyük kayıp verdi,Deniz savaşı,Müezzinzade Ali Paşa ve Don Juan
22,1683,Osmanlı - Avusturya ve Lehistan,II. Viyana Kuşatması,Avusturya ve Lehistan,Viyana - Avusturya,60 gün,Osmanlı gerileme dönemine girdi,Kuşatma,Merzifonlu Kara Mustafa ve Sobieski
23,1805,İngiltere - Fransa ve İspanya,Trafalgar Deniz Savaşı,İngiltere,Trafalgar - İspanya,1 gün,İngiltere denizlerin hakimi oldu,Deniz savaşı,Nelson ve Villeneuve
24,1815,Fransa - İngiltere ve Prusya,Waterloo Savaşı,İngiltere ve Prusya,Waterloo - Belçika,1 gün,Napolyon dönemi sona erdi,Meydan savaşı,Wellington ve Napolyon
25,1915,Osmanlı - İtilaf Devletleri,Çanakkale Savaşı,Osmanlı,Çanakkale,11 ay,Çanakkale geçilmedi ve destan yazıldı,Kuşatma-siper savaşı,Mustafa Kemal ve Ian Hamilton
26,1921,TBMM Ordusu - Yunanistan,İnönü Muharebeleri,TBMM Ordusu,İnönü - Eskişehir,2 muharebe,Düzenli ordunun ilk zaferleri kazanıldı,Meydan savaşı,İsmet Paşa ve Papulas
27,1921,TBMM Ordusu - Yunanistan,Sakarya Meydan Muharebesi,TBMM Ordusu,Sakarya - Polatlı,22 gün,Türk ordusu savunmadan taarruza geçti,Meydan savaşı,Mustafa Kemal ve Papulas
28,1922,TBMM Ordusu - Yunanistan,Büyük Taarruz,TBMM Ordusu,Dumlupınar - Kütahya,15 gün,Kurtuluş Savaşı zaferle sonuçlandı,Meydan savaşı,Mustafa Kemal ve Trikupis
29,1942,Almanya - Sovyetler Birliği,Stalingrad Muharebesi,Sovyetler Birliği,Stalingrad - Rusya,5 ay,II. Dünya Savaşı'nın dönüm noktası oldu,Şehir-kuşatma savaşı,Jukov ve Paulus
30,1944,Müttefikler - Almanya,Normandiya Çıkarması,Müttefikler,Normandiya - Fransa,3 ay,Batı Cephesi açıldı,Çıkarma harekatı,Eisenhower ve Rommel
31,624,Müslümanlar - Mekkeliler,Bedir Savaşı,Müslümanlar,Bedir - Arabistan,1 gün,İslam'ın ilk büyük askeri zaferi kazanıldı,Meydan savaşı,Hz. Muhammed ve Ebu Cehil
32,636,İslam Devleti - Bizans,Yermük Savaşı,İslam Devleti,Yermük - Suriye,6 gün,Suriye ve Filistin Bizans'tan alındı,Meydan savaşı,Halid bin Velid ve Vahan
33,636,İslam Devleti - Sasani,Kadisiye Savaşı,İslam Devleti,Kadisiye - Irak,4 gün,Sasani İmparatorluğu çöküş sürecine girdi,Meydan savaşı,Sad bin Ebi Vakkas ve Rüstem
34,732,Franklar - Emeviler,Puvatya Savaşı,Franklar,Poitiers - Fransa,1 gün,İslam ordularının Avrupa ilerleyişi durduruldu,Meydan savaşı,Charles Martel ve Abdurrahman el-Gafiki
35,751,Abbasiler ve Karluklar - Çin,Talas Savaşı,Abbasiler ve Karluklar,Talas - Orta Asya,5 gün,Orta Asya İslam etkisine girdi ve kağıt Batı'ya yayıldı,Meydan savaşı,Ziyad bin Salih ve Kao Sien-çe
36,1048,Selçuklu - Bizans,Pasinler Savaşı,Büyük Selçuklu,Pasinler - Erzurum,1 gün,Selçuklu ile Bizans ilk büyük karşılaşması yaşandı,Meydan savaşı,İbrahim Yinal ve Liparites
37,1243,Anadolu Selçuklu - Moğol,Kösedağ Savaşı,Moğol,Kösedağ - Sivas,1 gün,Anadolu Selçuklu Moğol hakimiyetine girdi,Meydan savaşı,II. Gıyaseddin Keyhüsrev ve Baycu Noyan
38,1914,Osmanlı - Rusya,Sarıkamış Harekatı,Rusya,Sarıkamış - Kars,20 gün,Ağır kış şartlarında büyük kayıp verildi,Kış harekatı,Enver Paşa ve Vorontsov
