No,Albüm,Yıl,Şarkı,Tür,Konu,Duygu Tonu,Süre,Söz-Müzik,Sanatçı,YouTube
43,Can Kırıkları,2005,Bir Kalp Kırıldığında,Balad,Bir kalp kırıldığında yaşanan yıkım ve yeniden inşa,Kırgın-toparlanan,5:04,Şebnem Ferah,Şebnem Ferah,Nu9hjH0K7Oo
44,Can Kırıkları,2005,Delgeç,Rock,Acıya bağışıklık kazanmış bir ruhun meydan okuyuşu,Karanlık-meydan okuyan,4:15,Şebnem Ferah,Şebnem Ferah,LOTP4Vqe5ZE
45,Can Kırıkları,2005,Geçmişe Yolculuk,Rock,Hayal dünyasına sığınarak geçmişle yüzleşme,İçe dönük-melankolik,5:53,Şebnem Ferah,Şebnem Ferah,sHNExnuaXfo
46,Can Kırıkları,2005,Ben Bir Mülteciyim (Güç),Metal,Kendi yüreğine sığınan bir ruhun içsel özgürlüğü,Güçlü-özgürlükçü,5:56,Şebnem Ferah,Şebnem Ferah,bjLXnZMm6gI
47,Can Kırıkları,2005,Sana Bilmediğin Bir Şey Söyleyemem,Balad,Başkasının acısına ortak olmanın bilgeliği,Bilge-sakin,5:15,Şebnem Ferah,Şebnem Ferah,7l02yyBuneE
48,Can Kırıkları,2005,Çakıl Taşları,Balad,Küçük ve sıradan şeylerin aslında değerli oluşu,Sakin-teselli edici,4:47,Şebnem Ferah,Şebnem Ferah,CAAfeDIubGM
49,Can Kırıkları,2005,Zaman Geçip Gidiyor,Rock,Korku yüzünden gerçek duygulardan kaçınmanın eleştirisi,Eleştirel-hüzünlü,4:23,Şebnem Ferah,Şebnem Ferah,8ESGvxV9LzQ
50,Can Kırıkları,2005,Hoşçakal,Balad,Bir şehirden ve geçmişten vedalaşma özgürlük arayışı,Hüzünlü-özgür,4:45,Şebnem Ferah,Şebnem Ferah,diKKVF9fvkI
51,Benim Adım Orman,2009,Merhaba,Rock,Olduğun gibi kabul edilme ve sıcak bir karşılama,Sıcak-kabullenici,4:03,Şebnem Ferah,Şebnem Ferah,I2Uz1oUM9vw
52,Benim Adım Orman,2009,Benim Adım Orman,Rock,Orman metaforuyla yalnızlık ve var oluş direnci,Yalnız-dirençli,4:05,Şebnem Ferah,Şebnem Ferah,tcLuwHwqqpM
53,Benim Adım Orman,2009,Yalnız,Balad,Yalnızlık hüznü ve dünyaya karşı yorgunluk,Hüzünlü-yorgun,5:08,Şebnem Ferah,Şebnem Ferah,90Mq7vf1J0A
54,Benim Adım Orman,2009,İstiklal Caddesi Kadar,Balad,Bir aşkın derinliğini İstiklal Caddesi'yle ölçme,Melankolik-özlemli,4:52,Şebnem Ferah,Şebnem Ferah,362o6ZpQumE
55,Benim Adım Orman,2009,Eski,Balad,Kayıp sonrası sıradan günlere duyulan özlem,Nostaljik-hüzünlü,5:02,Şebnem Ferah,Şebnem Ferah,D7vJVklc0eI
56,Benim Adım Orman,2009,Mahalle,Rock,Bir ilişkideki duygusal yıkım ve hayal kırıklığı,Kırgın-acılı,5:52,Şebnem Ferah,Şebnem Ferah,FwQPKoZGcRg
57,Benim Adım Orman,2009,Ateşe Yakın,Rock,Depremde kaybettiği babasına duyulan özlem ve anı,Yaslı-özlemli,4:42,Şebnem Ferah,Şebnem Ferah,kQ4bpBoz63o
58,Benim Adım Orman,2009,Serapmış,Balad,Kendine veda ve yabancılaşma; kaybolan idealler,Hayal kırıklığı dolu,5:09,Şebnem Ferah,Şebnem Ferah,KsPjyhMPolA
59,Benim Adım Orman,2009,İnsanlık,Rock,-,-,4:02,Şebnem Ferah,Şebnem Ferah,n1U59DDsAd0
60,Benim Adım Orman,2009,Bazı Aşklar,Balad,Paylaşılamayan ve anlatılamayan aşkların yarım kalması,Hüzünlü-yarım,4:42,Şebnem Ferah,Şebnem Ferah,5gqcp0VWMH4
61,Benim Adım Orman,2009,Uçurtma,Balad,Çocukluk bakışıyla dünyaya korkuyla bakış,Korkulu-masumane,5:14,Şebnem Ferah,Şebnem Ferah,eCnlOIoOsyM
62,Od,2013,Kalbim Mezar,Rock,Biriken anıları ve geçmişi içine gömme,Melankolik-dramatik,4:39,Şebnem Ferah,Şebnem Ferah,1v_z0C6X50A
63,Od,2013,Birileri Var,Rock,Zulme direnen ve masumu koruyanlara duyulan inanç,Umutlu-isyankâr,4:18,Şebnem Ferah,Şebnem Ferah,XKEGPRscOFE
64,Od,2013,Od,Metal,Yıkımın küllerinden acıyla yeniden doğuş,Diriliş-meydan okuyan,5:35,Şebnem Ferah,Şebnem Ferah,yjMjul9ch0s
65,Od,2013,Savaş Boyası,Metal,Dış görünüşün hayat mücadelesine karşı bir zırh oluşu,Meydan okuyan-güçlü,5:33,Şebnem Ferah,Şebnem Ferah,bORSXZ9JTvg
66,Od,2013,Bin Yıldır,Rock,Uzun ve yorucu bir yaşamın ağırlığı ile pişmanlıklar,Yorgun-melankolik,5:26,Şebnem Ferah,Şebnem Ferah,5LAqBBx5s04
67,Od,2013,Ya Hep Ya Hiç,Rock,Belirsizlik yerine net bir karara bağlanma talebi,Kararlı-sert,4:23,Şebnem Ferah,Şebnem Ferah,jUteDtPQ_ug
68,Od,2013,Utangaç,Balad,Sevilen kişiye duyguları açıkça söyleyememe çelişkisi,Kırılgan-çelişkili,6:07,Şebnem Ferah,Şebnem Ferah,bnSnC46_4dM
69,Od,2013,Yarım,Balad,Hayatın çeşitli alanlarında tamamlanamamışlık hissi,Melankolik-içsel çatışmalı,5:28,Şebnem Ferah,Şebnem Ferah,dQmXilbt0Vw
70,Od,2013,Girdap,Metal,İçe çeken duygusal bir girdaba karşı iç güçle direnme,Gergin-dirençli,6:14,Şebnem Ferah,Şebnem Ferah,6ib0R2lKQgg
71,Od,2013,Çok Yorgunum,Balad,Nâzım Hikmet uyarlaması; memleket özlemi ve tükenmişlik,Hüzünlü-özlemli,3:06,Nâzım Hikmet (söz) / Cem Karaca (müzik) — Ferah yorumu,Şebnem Ferah,1x7gagxpD9M
72,Parmak İzi,2018,Şarkılar Yalan Söylemez,Rock,Aşk ve içsel gerçeklere inadına bağlılık ile umut,İnatçı-umutlu,3:52,Şebnem Ferah,Şebnem Ferah,NbV0LMpCzYI
73,Parmak İzi,2018,Başka Bir Yol Var,Rock,Zorluklar karşısında alternatif çıkış yolları arayışı,Umutlu-mücadeleci,3:59,Şebnem Ferah,Şebnem Ferah,ZhrsdOsV0_4
74,Parmak İzi,2018,Koridor,Rock,Bir ilişki sonrası hissedilen yokluk ve kayıp,Hüzünlü-özlemli,3:23,Şebnem Ferah,Şebnem Ferah,lAJlyUEl8wI
75,Parmak İzi,2018,Küllerinden,Balad,Aşk acısı sonrası küllerinden yeniden doğuş,Melankolik-umutlu,5:02,Şebnem Ferah,Şebnem Ferah,ahCpjDj6qew
76,Parmak İzi,2018,Vicdan,Balad,İnsanın vicdanına ve sorumluluğuna seslenme,İçe dönük-sorgulayıcı,5:00,Şebnem Ferah,Şebnem Ferah,GgztVyVcJik
77,Parmak İzi,2018,Son Tango,Pop-Rock,Varoluş ve ölümlülük üzerine yaşamın geçiciliğini sorgulama,Melankolik-düşünceli,4:05,Şebnem Ferah,Şebnem Ferah,o8lMKHoHbjg
78,Parmak İzi,2018,Parmak İzi,Rock,Yaşarken bıraktığımız izlerin ve seçimlerin kalıcılığı,İçe dönük-derin,4:22,Şebnem Ferah,Şebnem Ferah,zwzgxC-c8P4
79,Parmak İzi,2018,Sözde Namus,Rock,Özgecan Aslan'a adanan kadın cinayetlerine sert eleştiri,Öfkeli-suçlayıcı,3:50,Şebnem Ferah,Şebnem Ferah,AIhASqky6Lc
80,Parmak İzi,2018,Kıramazsın,Balad,Aşk acısına rağmen kırılmayan bir kalbin direnci,Dirençli-yaralı,4:35,Şebnem Ferah,Şebnem Ferah,tuhkQo5gtNc
81,Parmak İzi,2018,Koyu,Balad,-,-,6:11,Şebnem Ferah,Şebnem Ferah,UqEU610qu_k
82,Albüm Dışı (Single),2000,Değirmenler,Balad,Zamana karşı direnişin nafile oluşu ve teslimiyet,Melankolik-teslimiyetçi,4:14,Bülent Ortaçgil (Ferah yorumu),Şebnem Ferah,hVtShuZ6I_0
83,Albüm Dışı (Single),2005,Gönülçelen,Pop-Rock,Güvensiz ve çelişkili bir aşk ilişkisi,Buruk-çelişkili,3:53,Teoman (Ferah yorumu; film müziği),Şebnem Ferah,bYtplSQ_7qg
84,Albüm Dışı (Single),2007,Ünzile,Balad,Çocuk yaşta evlendirilen bir kızın dramı,Hüzünlü-sitemkâr,5:41,Aysel Gürel (söz) / Onno Tunç (müzik) — Ferah yorumu,Şebnem Ferah,71LvpM4QZRY
85,Albüm Dışı (Single),2011,Özgürce Yaşa,Rock,Gençliğin özgürce yaşama hakkını savunan bir marş,Coşkulu-özgürlükçü,4:12,"Şebnem Ferah (beste); Hayko Cepkin, Badem, TNK, Aylin Aslım ile ortak seslendirme",Şebnem Ferah,G2nXKQ-Zz2s
