No,Yıl,Yönetmen,Film,Ülke,Tür,Süre (dk),Önemi,IMDb,Başrol,Görsel
14,1963,Federico Fellini,Sekiz Buçuk,İtalya,Dram,138,Yaratıcı tıkanmayı anlatan öz düşünümsel başyapıt,8.0,Marcello Mastroianni,https://upload.wikimedia.org/wikipedia/en/4/46/8Mezzo.jpg
15,1966,Sergio Leone,İyi Kötü ve Çirkin,İtalya,Western,178,Spagetti westernin en ünlü örneği,8.8,Clint Eastwood,https://upload.wikimedia.org/wikipedia/en/4/45/Good_the_bad_and_the_ugly_poster.jpg
16,1968,Stanley Kubrick,2001: Bir Uzay Efsanesi,ABD-İngiltere,Bilim Kurgu,149,Bilim kurgu görselliğini yeniden tanımladı,8.3,Keir Dullea,https://upload.wikimedia.org/wikipedia/en/1/11/2001_A_Space_Odyssey_%281968%29.png
17,1970,Yılmaz Güney,Umut,Türkiye,Dram,100,Türk toplumsal gerçekçi sinemasının dönüm noktası,8.0,Yılmaz Güney,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Hopeful.jpg/330px-Hopeful.jpg
18,1972,Francis Ford Coppola,Baba,ABD,Suç-Dram,175,Gangster türünün ve Yeni Hollywood akımının zirvesi,9.2,Marlon Brando ve Al Pacino,https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg
19,1976,Martin Scorsese,Taksi Şoförü,ABD,Dram,114,Kent yalnızlığının ve şiddetin çarpıcı portresi,8.2,Robert De Niro,https://upload.wikimedia.org/wikipedia/en/3/33/Taxi_Driver_%281976_film_poster%29.jpg
20,1978,Zeki Ökten,Sürü,Türkiye,Dram,118,Göç ve toplumsal çözülmenin sinemasal anlatımı,7.9,Tarık Akan ve Melike Demirağ,https://upload.wikimedia.org/wikipedia/tr/d/d5/S%C3%BCr%C3%BCfilmi.jpg
21,1979,Francis Ford Coppola,Kıyamet,ABD,Savaş,147,Savaş sinemasının biçimsel sınırlarını genişletti,8.4,Martin Sheen ve Marlon Brando,https://upload.wikimedia.org/wikipedia/en/c/c2/Apocalypse_Now_poster.jpg
22,1982,Şerif Gören ve Yılmaz Güney,Yol,Türkiye,Dram,114,Altın Palmiye kazanan ilk Türk filmi,8.0,Tarık Akan ve Şerif Sezer,https://upload.wikimedia.org/wikipedia/tr/thumb/a/a9/Yol-film-1981.jpg/330px-Yol-film-1981.jpg
23,1982,Ridley Scott,Blade Runner,ABD,Bilim Kurgu,117,Siberpunk görselliğinin kurucu filmi,8.1,Harrison Ford,https://upload.wikimedia.org/wikipedia/en/9/9f/Blade_Runner_%281982_poster%29.png
24,1988,Giuseppe Tornatore,Sinema Cenneti,İtalya,Dram,155,Sinema sevgisini anlatan en bilinen yapıt,8.5,Philippe Noiret,https://upload.wikimedia.org/wikipedia/en/8/86/CinemaParadiso.jpg
25,1993,Steven Spielberg,Schindler'in Listesi,ABD,Tarihi Dram,195,Holokost belleğini sinemada kalıcılaştırdı,9.0,Liam Neeson,https://upload.wikimedia.org/wikipedia/en/3/38/Schindler%27s_List_movie.jpg
26,1994,Frank Darabont,Esaretin Bedeli,ABD,Dram,142,IMDb'nin en yüksek puanlı filmlerinden,9.3,Tim Robbins ve Morgan Freeman,https://upload.wikimedia.org/wikipedia/tr/thumb/e/e6/Esaretin-bedeli.jpg/330px-Esaretin-bedeli.jpg
27,1994,Quentin Tarantino,Ucuz Roman,ABD,Suç,154,Doğrusal olmayan anlatımı bağımsız sinemaya taşıdı,8.9,John Travolta ve Samuel L. Jackson,https://upload.wikimedia.org/wikipedia/en/3/3b/Pulp_Fiction_%281994%29_poster.jpg
28,1996,Yavuz Turgul,Eşkıya,Türkiye,Dram,128,Türk sinemasının yeniden doğuşunu başlattı,8.0,Şener Şen ve Uğur Yücel,https://upload.wikimedia.org/wikipedia/tr/f/f5/Eskiya_film.jpg
29,1999,Wachowski Kardeşler,Matrix,ABD,Bilim Kurgu,136,Dijital görsel efektlerde çığır açtı,8.7,Keanu Reeves,https://upload.wikimedia.org/wikipedia/en/d/db/The_Matrix.png
30,2001,Peter Jackson,Yüzüklerin Efendisi: Yüzük Kardeşliği,ABD-Yeni Zelanda,Fantastik,178,Fantastik sinemanın modern kilometre taşı,8.9,Elijah Wood ve Ian McKellen,https://upload.wikimedia.org/wikipedia/en/f/fb/Lord_Rings_Fellowship_Ring.jpg
31,2002,Nuri Bilge Ceylan,Uzak,Türkiye,Dram,110,Cannes Büyük Ödülü ile Türk sinemasını uluslararası alana taşıdı,7.7,Muzaffer Özdemir ve Mehmet Emin Toprak,https://upload.wikimedia.org/wikipedia/en/1/18/Uzak.png
32,2011,Nuri Bilge Ceylan,Bir Zamanlar Anadolu'da,Türkiye,Dram,157,Cannes Büyük Ödülü kazanan çağdaş başyapıt,7.8,Muhammet Uzuner ve Yılmaz Erdoğan,https://upload.wikimedia.org/wikipedia/tr/thumb/4/4b/Bir_Zamanlar_Anadoluda_afi%C5%9F.jpg/330px-Bir_Zamanlar_Anadoluda_afi%C5%9F.jpg
33,2019,Bong Joon-ho,Parazit,Güney Kore,Dram-Gerilim,132,En İyi Film Oscarı kazanan ilk yabancı dilde film,8.5,Song Kang-ho,https://upload.wikimedia.org/wikipedia/en/5/53/Parasite_%282019_film%29.png
34,1931,Charlie Chaplin,Şehir Işıkları,ABD,Komedi-Dram,87,Sessiz sinemanın duygusal başyapıtı,8.5,Charlie Chaplin,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/City_Lights_%281931_theatrical_poster_-_retouched%29.jpg/330px-City_Lights_%281931_theatrical_poster_-_retouched%29.jpg
35,1939,Victor Fleming,Oz Büyücüsü,ABD,Fantastik,102,Teknikolor masal sinemasının klasiği,8.1,Judy Garland,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Wizard_of_oz_movie_poster.jpg/330px-Wizard_of_oz_movie_poster.jpg
36,1977,George Lucas,Yıldız Savaşları,ABD,Bilim Kurgu,121,Modern gişe sinemasını başlattı,8.6,Mark Hamill,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Star_wars2.svg/langtr-330px-Star_wars2.svg.png
37,1975,Milos Forman,Guguk Kuşu,ABD,Dram,133,Beş büyük Oscar kazandı,8.7,Jack Nicholson,https://upload.wikimedia.org/wikipedia/tr/thumb/2/22/Guguk_kusu.jpg/330px-Guguk_kusu.jpg
38,1994,Robert Zemeckis,Forrest Gump,ABD,Dram,142,Popüler kültürün simge filmlerinden,8.8,Tom Hanks,https://upload.wikimedia.org/wikipedia/tr/thumb/b/bb/Forrest_Gump_%28film%2C_1994%29.jpg/330px-Forrest_Gump_%28film%2C_1994%29.jpg
39,1994,Luc Besson,Leon,Fransa,Suç-Dram,110,Kült aksiyon dramı,8.5,Jean Reno,https://upload.wikimedia.org/wikipedia/en/0/03/Leon-poster.jpg
40,1997,James Cameron,Titanik,ABD,Romantik Dram,195,Gişe rekorları kıran romantik felaket filmi,7.9,Leonardo DiCaprio,https://upload.wikimedia.org/wikipedia/en/1/18/Titanic_%281997_film%29_poster.png
41,1998,Steven Spielberg,Er Ryan'ı Kurtarmak,ABD,Savaş,169,Savaş sahneleriyle çığır açtı,8.6,Tom Hanks,https://upload.wikimedia.org/wikipedia/tr/thumb/d/d4/Er-Ryani-kurtarmak-poster.png/330px-Er-Ryani-kurtarmak-poster.png
42,1999,David Fincher,Dövüş Kulübü,ABD,Dram,139,Kült statüsüne ulaşan modern klasik,8.8,Brad Pitt,https://upload.wikimedia.org/wikipedia/tr/thumb/a/ab/D%C3%B6v%C3%BC%C5%9F_Kul%C3%BCb%C3%BC_film_afi%C5%9Fi.jpg/330px-D%C3%B6v%C3%BC%C5%9F_Kul%C3%BCb%C3%BC_film_afi%C5%9Fi.jpg
43,2000,Ridley Scott,Gladyatör,ABD,Tarihi Aksiyon,155,Tarihi epik türünü yeniden canlandırdı,8.5,Russell Crowe,https://upload.wikimedia.org/wikipedia/en/f/fb/Gladiator_%282000_film_poster%29.png
44,2001,Jean-Pierre Jeunet,Amelie,Fransa,Romantik Komedi,122,Fransız sinemasının modern simgesi,8.3,Audrey Tautou,https://upload.wikimedia.org/wikipedia/tr/thumb/f/f1/330px-Amelie_poster.jpg/330px-415px-Amelie_poster.jpg
45,2003,Andrew Stanton,Kayıp Balık Nemo,ABD,Animasyon,100,Pixar animasyonunun sevilen yapıtı,8.2,Albert Brooks,https://upload.wikimedia.org/wikipedia/tr/thumb/2/2a/Kay%C4%B1p_Bal%C4%B1k_Nemo_afi%C5%9F.jpg/330px-Kay%C4%B1p_Bal%C4%B1k_Nemo_afi%C5%9F.jpg
46,2008,Christopher Nolan,Kara Şövalye,ABD,Aksiyon,152,Çizgi roman uyarlamalarını yeniden tanımladı,9.0,Christian Bale,https://upload.wikimedia.org/wikipedia/tr/thumb/4/4d/Kara_%C5%9E%C3%B6valye_TR_film_afi%C5%9Fi.jpg/330px-Kara_%C5%9E%C3%B6valye_TR_film_afi%C5%9Fi.jpg
47,2010,Christopher Nolan,Başlangıç,ABD,Bilim Kurgu,148,Rüya içinde rüya kurgusuyla ünlü,8.8,Leonardo DiCaprio,https://upload.wikimedia.org/wikipedia/en/2/2e/Inception_%282010%29_theatrical_poster.jpg
48,2014,Christopher Nolan,Yıldızlararası,ABD,Bilim Kurgu,169,Bilimsel görselliğiyle övgü aldı,8.7,Matthew McConaughey,https://upload.wikimedia.org/wikipedia/en/b/bc/Interstellar_film_poster.jpg
49,1987,Yavuz Turgul,Muhsin Bey,Türkiye,Dram,135,Yeşilçam sonrası Türk sinemasının önemli eseri,8.1,Şener Şen,https://upload.wikimedia.org/wikipedia/tr/thumb/5/5d/Muhsin_Bey_film_afi%C5%9Fi.jpg/330px-Muhsin_Bey_film_afi%C5%9Fi.jpg
50,1996,Derviş Zaim,Tabutta Rövaşata,Türkiye,Dram,75,Türk bağımsız sinemasının öncüsü,7.8,Ahmet Uğurlu,https://upload.wikimedia.org/wikipedia/tr/thumb/d/d7/Tabutta_R%C3%B6va%C5%9Fata_VCD_kapa%C4%9F%C4%B1.jpg/330px-Tabutta_R%C3%B6va%C5%9Fata_VCD_kapa%C4%9F%C4%B1.jpg
51,2001,Yılmaz Erdoğan ve Ömer Faruk Sorak,Vizontele,Türkiye,Komedi-Dram,110,Anadolu'ya televizyonun gelişini anlatır,7.9,Yılmaz Erdoğan,https://upload.wikimedia.org/wikipedia/tr/thumb/3/35/Vizontele.jpg/330px-Vizontele.jpg
52,2005,Çağan Irmak,Babam ve Oğlum,Türkiye,Dram,112,En sevilen Türk melodramlarından,8.2,Fikret Kuşkan,https://upload.wikimedia.org/wikipedia/tr/thumb/e/e5/Babam_ve_O%C4%9Flum.jpg/330px-Babam_ve_O%C4%9Flum.jpg
53,2006,Reha Erdem,Beş Vakit,Türkiye,Dram,111,Şiirsel anlatımıyla öne çıkan yapıt,7.5,Özkan Özen,https://upload.wikimedia.org/wikipedia/tr/thumb/0/0f/Be%C5%9F_Vakit_DVD.jpg/330px-Be%C5%9F_Vakit_DVD.jpg
54,2014,Nuri Bilge Ceylan,Kış Uykusu,Türkiye,Dram,196,Altın Palmiye kazanan başyapıt,8.2,Haluk Bilginer,https://upload.wikimedia.org/wikipedia/tr/thumb/d/d8/K%C4%B1%C5%9F_Uykusu_%28Afi%C5%9F%29.jpeg/330px-K%C4%B1%C5%9F_Uykusu_%28Afi%C5%9F%29.jpeg
55,2018,Nuri Bilge Ceylan,Ahlat Ağacı,Türkiye,Dram,188,Baba oğul ilişkisini işleyen çağdaş eser,8.0,Doğu Demirkol,https://upload.wikimedia.org/wikipedia/tr/5/59/Ahlat_A%C4%9Fac%C4%B1.jpg
