No,Kıta,Nüfus (milyon),Ülke,Yüzölçümü (bin km²),GSYH (milyar $),Kişi Başı Gelir ($),Bağımsızlık Yılı,Bayrak Kabul Yılı,Başkent,Para Birimi,Resmi Dil,Görsel
22,Avrupa,59,İtalya,301,2250,38000,1861,1946,Roma,Euro,İtalyanca,https://flagcdn.com/w320/it.png
23,Afrika,60,Güney Afrika,1221,380,6300,1910,1994,Pretoria,Rand,İngilizce ve Afrikaanca,https://flagcdn.com/w320/za.png
24,Asya,52,Güney Kore,100,1710,33000,1948,1948,Seul,Won,Korece,https://flagcdn.com/w320/kr.png
25,Güney Amerika,46,Arjantin,2780,640,13900,1816,1818,Buenos Aires,Peso,İspanyolca,https://flagcdn.com/w320/ar.png
26,Avrupa,48,İspanya,506,1580,33000,1492,1981,Madrid,Euro,İspanyolca,https://flagcdn.com/w320/es.png
27,Avrupa,38,Polonya,313,810,21000,1918,1919,Varşova,Zloti,Lehçe,https://flagcdn.com/w320/pl.png
28,Kuzey Amerika,39,Kanada,9985,2140,55000,1867,1965,Ottawa,Dolar,İngilizce ve Fransızca,https://flagcdn.com/w320/ca.png
29,Okyanusya,26,Avustralya,7692,1720,65000,1901,1908,Kanberra,Dolar,İngilizce,https://flagcdn.com/w320/au.png
30,Asya,10,Birleşik Arap Emirlikleri,84,510,50000,1971,1971,Abu Dabi,Dirhem,Arapça,https://flagcdn.com/w320/ae.png
31,Avrupa,17,Hollanda,42,1090,63000,1581,1937,Amsterdam,Euro,Felemenkçe,https://flagcdn.com/w320/nl.png
32,Avrupa,10,İsveç,450,590,56000,1523,1906,Stokholm,Kron,İsveççe,https://flagcdn.com/w320/se.png
33,Avrupa,9,İsviçre,41,885,99000,1291,1889,Bern,Frank,Almanca ve Fransızca,https://flagcdn.com/w320/ch.png
34,Avrupa,10,Yunanistan,132,240,22500,1830,1978,Atina,Euro,Yunanca,https://flagcdn.com/w320/gr.png
35,Asya,6,Singapur,0.7,500,84000,1965,1959,Singapur,Dolar,İngilizce ve Malayca,https://flagcdn.com/w320/sg.png
36,Asya,10,Azerbaycan,87,78,7700,1991,1991,Bakü,Manat,Azerice,https://flagcdn.com/w320/az.png
37,Asya,20,Kazakistan,2725,260,13000,1991,1992,Astana,Tenge,Kazakça,https://flagcdn.com/w320/kz.png
38,Afrika,37,Fas,447,140,3800,1956,1915,Rabat,Dirhem,Arapça,https://flagcdn.com/w320/ma.png
39,Güney Amerika,52,Kolombiya,1142,360,6900,1810,1861,Bogota,Peso,İspanyolca,https://flagcdn.com/w320/co.png
40,Asya,71,Tayland,513,515,7300,1238,1917,Bangkok,Baht,Tayca,https://flagcdn.com/w320/th.png
41,Avrupa,5.5,Norveç,385,580,87000,1905,1821,Oslo,Kron,Norveççe,https://flagcdn.com/w320/no.png
42,Avrupa,38,Ukrayna,604,180,4500,1991,1992,Kiev,Grivna,Ukraynaca,https://flagcdn.com/w320/ua.png
43,Avrupa,10,Portekiz,92,290,27000,1143,1911,Lizbon,Euro,Portekizce,https://flagcdn.com/w320/pt.png
