No,Familya,Tip,Bitki,Anavatan,Ortalama Boy,Çiçeklenme Mevsimi,Başlıca Kullanım,Ömür,Bilimsel Adı,Yetişme İklimi,Görsel
11,Ballıbabagiller,Çalı,Lavanta,Akdeniz havzası,60 cm,Yaz,Esans ve süs,Çok yıllık,Lavandula angustifolia,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Single_lavender_flower02.jpg/330px-Single_lavender_flower02.jpg
12,Sarmaşıkgiller,Tırmanıcı,Sarmaşık,Avrupa ve Batı Asya,20 m,Sonbahar,Duvar ve cephe bitkisi,Çok yıllık,Hedera helix,Ilıman nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/%28MHNT%29_Hedera_helix_-_immature_inflorescences.jpg/330px-%28MHNT%29_Hedera_helix_-_immature_inflorescences.jpg
13,Kaktüsgiller,Çalı,Kaktüs,Amerika çölleri,2 m,İlkbahar,Süs ve meyve,Çok yıllık,Cactaceae,Kurak çöl iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Various_Cactaceae.jpg/330px-Various_Cactaceae.jpg
14,Asmagiller,Tırmanıcı,Asma,Kafkasya ve Anadolu,10 m,İlkbahar,Üzüm ve yaprak,Çok yıllık,Vitis vinifera,Akdeniz ve ılıman,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Vitis_californica_with_grapes.jpg/330px-Vitis_californica_with_grapes.jpg
15,Çamgiller,Ağaç,Çam,Kuzey Yarımküre,30 m,İlkbahar,Kereste ve reçine,Çok yıllık,Pinus sylvestris,Ilıman ve soğuk,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Pinus_aristata_%28Rocky_Mountains_Bristlecone_Pine%29_-_Flickr_-_S._Rae.jpg/330px-Pinus_aristata_%28Rocky_Mountains_Bristlecone_Pine%29_-_Flickr_-_S._Rae.jpg
16,Söğütgiller,Ağaç,Kavak,Kuzey Yarımküre,25 m,İlkbahar,Kereste ve kağıt,Çok yıllık,Populus tremula,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/PopulusTremula001.JPG/330px-PopulusTremula001.JPG
17,Söğütgiller,Ağaç,Söğüt,Asya ve Avrupa,15 m,İlkbahar,Gölge ve sepetçilik,Çok yıllık,Salix alba,Ilıman nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Salix_alba_Morton.jpg/330px-Salix_alba_Morton.jpg
18,Gülgiller,Ağaç,Elma,Orta Asya,6 m,İlkbahar,Meyve,Çok yıllık,Malus domestica,Ilıman kuşak,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Red_Apple.jpg/330px-Red_Apple.jpg
19,Gülgiller,Ağaç,Kiraz,Anadolu,8 m,İlkbahar,Meyve,Çok yıllık,Prunus avium,Ilıman kuşak,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cherry_season_%2848216568227%29.jpg/330px-Cherry_season_%2848216568227%29.jpg
20,Dutgiller,Ağaç,İncir,Akdeniz ve Anadolu,7 m,İlkbahar,Meyve,Çok yıllık,Ficus carica,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Ficus_carica_L%2C_1771.jpg/330px-Ficus_carica_L%2C_1771.jpg
21,Nargiller,Ağaç,Nar,İran ve Anadolu,5 m,İlkbahar,Meyve ve şurup,Çok yıllık,Punica granatum,Akdeniz ve subtropikal,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Pomegranate_Juice_%282019%29.jpg/330px-Pomegranate_Juice_%282019%29.jpg
22,Ebegümecigiller,Çalı,Pamuk,Hindistan ve Amerika,120 cm,Yaz,Tekstil lifi,Tek yıllık,Gossypium hirsutum,Sıcak ve nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/CottonPlant.JPG/330px-CottonPlant.JPG
23,Buğdaygiller,Otsu,Mısır,Orta Amerika,250 cm,Yaz,Gıda ve hayvan yemi,Tek yıllık,Zea mays,Ilıman ve sıcak,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ab_food_06.jpg/330px-Ab_food_06.jpg
24,Buğdaygiller,Otsu,Pirinç,Güneydoğu Asya,120 cm,Yaz,Temel gıda,Tek yıllık,Oryza sativa,Sıcak ve sulak,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Oryza_sativa_MHNT.BOT.2015.2.52.jpg/330px-Oryza_sativa_MHNT.BOT.2015.2.52.jpg
25,Patlıcangiller,Otsu,Domates,Güney Amerika,150 cm,Yaz,Sebze ve salça,Tek yıllık,Solanum lycopersicum,Ilıman ve sıcak,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Bright_red_tomato_and_cross_section02.jpg/330px-Bright_red_tomato_and_cross_section02.jpg
26,Patlıcangiller,Otsu,Patates,And Dağları,60 cm,Yaz,Temel gıda,Tek yıllık,Solanum tuberosum,Serin ılıman,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Potato_and_cross_section.jpg/330px-Potato_and_cross_section.jpg
27,Papatyagiller,Otsu,Papatya,Avrupa ve Anadolu,50 cm,İlkbahar,Bitki çayı,Tek yıllık,Matricaria chamomilla,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Papatya.png/330px-Papatya.png
28,Ballıbabagiller,Otsu,Nane,Akdeniz ve Asya,50 cm,Yaz,Baharat ve çay,Çok yıllık,Mentha spicata,Ilıman nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Mentha_longifolia_2005.08.02_09.53.56.jpg/330px-Mentha_longifolia_2005.08.02_09.53.56.jpg
29,Turnagagasıgiller,Otsu,Sardunya,Güney Afrika,50 cm,İlkbahar ve yaz,Süs bitkisi,Çok yıllık,Pelargonium hortorum,Ilıman ve sıcak,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Zeyrek_01371_Nevit.jpg/330px-Zeyrek_01371_Nevit.jpg
30,Baklagiller,Tırmanıcı,Fasulye,Orta Amerika,250 cm,Yaz,Sebze ve kuru bakliyat,Tek yıllık,Phaseolus vulgaris,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/French_beans_J1.JPG/330px-French_beans_J1.JPG
31,Kayıngiller,Ağaç,Kayın,Avrupa ve Anadolu,35 m,İlkbahar,Kereste ve mobilya,Çok yıllık,Fagus orientalis,Ilıman nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Beech-tree.JPG/330px-Beech-tree.JPG
32,Çamgiller,Ağaç,Ladin,Kuzey Yarımküre,40 m,İlkbahar,Kereste ve kağıt,Çok yıllık,Picea orientalis,Soğuk ve nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Ye%C5%9Fil_Picea_Pungens_Ankara%2CYenimahalle_2025.jpg/330px-Ye%C5%9Fil_Picea_Pungens_Ankara%2CYenimahalle_2025.jpg
33,Çamgiller,Ağaç,Köknar,Kuzey Yarımküre,45 m,İlkbahar,Kereste ve süs,Çok yıllık,Abies nordmanniana,Soğuk ve nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Abies_koreana_%28szyszki%29.JPG/330px-Abies_koreana_%28szyszki%29.JPG
34,Çamgiller,Ağaç,Sedir,Toroslar ve Himalaya,40 m,Sonbahar,Kereste ve süs,Çok yıllık,Cedrus libani,Dağlık ılıman,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/View_from_the_Barouk_Forest_1.JPG/330px-View_from_the_Barouk_Forest_1.JPG
35,Servigiller,Ağaç,Servi,Akdeniz havzası,25 m,İlkbahar,Süs ve rüzgar perdesi,Çok yıllık,Cupressus sempervirens,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Cypress_Halefka.JPG/330px-Cypress_Halefka.JPG
36,Cevizgiller,Ağaç,Ceviz,Anadolu ve İran,25 m,İlkbahar,Kuruyemiş ve kereste,Çok yıllık,Juglans regia,Ilıman kuşak,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Juglans_regia.jpg/330px-Juglans_regia.jpg
37,Kayıngiller,Ağaç,Kestane,Akdeniz ve Karadeniz,30 m,Yaz,Meyve ve kereste,Çok yıllık,Castanea sativa,Ilıman nemli,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Chestnuts_on_tree.jpg/330px-Chestnuts_on_tree.jpg
38,Çamgiller,Ağaç,Kızılçam,Akdeniz havzası,25 m,İlkbahar,Kereste ve reçine,Çok yıllık,Pinus brutia,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Pinus_brutia_-_K%C4%B1z%C4%B1l%C3%A7am_03.JPG/330px-Pinus_brutia_-_K%C4%B1z%C4%B1l%C3%A7am_03.JPG
39,Servigiller,Çalı,Ardıç,Kuzey Yarımküre,15 m,İlkbahar,Kereste ve baharat,Çok yıllık,Juniperus communis,Dağlık ve kurak,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Juniperus_%C3%97_pfitzeriana_%27Aurea%27_kz01.jpg/330px-Juniperus_%C3%97_pfitzeriana_%27Aurea%27_kz01.jpg
40,Defnegiller,Ağaç,Defne,Akdeniz havzası,10 m,İlkbahar,Baharat ve süs,Çok yıllık,Laurus nobilis,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Laurus_azorica_%28Flowers%29.jpg/330px-Laurus_azorica_%28Flowers%29.jpg
41,Mersingiller,Çalı,Mersin,Akdeniz havzası,5 m,Yaz,Süs ve meyve,Çok yıllık,Myrtus communis,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Myrtus_communis.jpg/330px-Myrtus_communis.jpg
42,Zakkumgiller,Çalı,Zakkum,Akdeniz havzası,4 m,Yaz,Süs bitkisi,Çok yıllık,Nerium oleander,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Espirradeira1.jpg/330px-Espirradeira1.jpg
43,Gecesefasıgiller,Tırmanıcı,Begonvil,Güney Amerika,12 m,İlkbahar ve yaz,Süs bitkisi,Çok yıllık,Bougainvillea glabra,Sıcak ve ılıman,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Bougainvillea_glabra_resmi.jpg/330px-Bougainvillea_glabra_resmi.jpg
44,Menekşegiller,Otsu,Menekşe,Avrupa ve Asya,20 cm,İlkbahar,Süs bitkisi,Çok yıllık,Viola odorata,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/2014.03.29.-20-Mannheim_Neckarau_Waldpark--Wald-Veilchen.jpg/330px-2014.03.29.-20-Mannheim_Neckarau_Waldpark--Wald-Veilchen.jpg
45,Kuşkonmazgiller,Otsu,Sümbül,Doğu Akdeniz,30 cm,İlkbahar,Süs bitkisi,Çok yıllık,Hyacinthus orientalis,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Hyacinth_-_Anglesey_Abbey.jpg/330px-Hyacinth_-_Anglesey_Abbey.jpg
46,Nergisgiller,Otsu,Nergis,Akdeniz ve Asya,40 cm,İlkbahar,Süs bitkisi,Çok yıllık,Narcissus poeticus,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Narzisse.jpg/330px-Narzisse.jpg
47,Karanfilgiller,Otsu,Karanfil,Akdeniz havzası,60 cm,İlkbahar ve yaz,Süs bitkisi,Çok yıllık,Dianthus caryophyllus,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/W_carnation4051.jpg/330px-W_carnation4051.jpg
48,Salepgiller,Otsu,Orkide,Tropik bölgeler,80 cm,Değişken,Süs bitkisi,Çok yıllık,Orchidaceae,Tropik ve ılıman,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/White_orchid_in_Clara_bog._03.jpg/330px-White_orchid_in_Clara_bog._03.jpg
49,Papatyagiller,Otsu,Kasımpatı,Çin ve Japonya,90 cm,Sonbahar,Süs bitkisi,Çok yıllık,Chrysanthemum morifolium,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Chrysanthemums.jpg/330px-Chrysanthemums.jpg
50,Manolyagiller,Ağaç,Manolya,Asya ve Amerika,20 m,İlkbahar,Süs bitkisi,Çok yıllık,Magnolia grandiflora,Ilıman ve sıcak,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Magnolia_wieseneri.jpg/330px-Magnolia_wieseneri.jpg
51,Baklagiller,Ağaç,Erguvan,Akdeniz ve Anadolu,10 m,İlkbahar,Süs bitkisi,Çok yıllık,Cercis siliquastrum,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/%28MHNT%29_Cercis_siliquastrum_in_bloom.jpg/330px-%28MHNT%29_Cercis_siliquastrum_in_bloom.jpg
52,Baklagiller,Tırmanıcı,Mor Salkım,Doğu Asya,20 m,İlkbahar,Süs bitkisi,Çok yıllık,Wisteria sinensis,Ilıman iklim,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Chinese_Wisteria_Bl%C3%BCtentrauben.JPG/330px-Chinese_Wisteria_Bl%C3%BCtentrauben.JPG
53,Ballıbabagiller,Otsu,Fesleğen,Asya ve Afrika,60 cm,Yaz,Baharat,Tek yıllık,Ocimum basilicum,Sıcak ve ılıman,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Basil-Basilico-Ocimum_basilicum-albahaca.jpg/330px-Basil-Basilico-Ocimum_basilicum-albahaca.jpg
54,Ballıbabagiller,Çalı,Biberiye,Akdeniz havzası,150 cm,İlkbahar,Baharat ve esans,Çok yıllık,Salvia rosmarinus,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Rosemary_bush.jpg/330px-Rosemary_bush.jpg
55,Ballıbabagiller,Çalı,Adaçayı,Akdeniz havzası,80 cm,Yaz,Şifa ve çay,Çok yıllık,Salvia officinalis,Akdeniz iklimi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Salvia_officinalis0.jpg/330px-Salvia_officinalis0.jpg
