41,Can Kırıkları,2005,Okyanus,Rock
42,Can Kırıkları,2005,Can Kırıkları,Balad
43,Can Kırıkları,2005,Bir Kalp Kırıldığında,Balad
44,Can Kırıkları,2005,Delgeç,Rock
45,Can Kırıkları,2005,Geçmişe Yolculuk,Rock
46,Can Kırıkları,2005,Ben Bir Mülteciyim (Güç),Metal
47,Can Kırıkları,2005,Sana Bilmediğin Bir Şey Söyleyemem,Balad
48,Can Kırıkları,2005,Çakıl Taşları,Balad
49,Can Kırıkları,2005,Zaman Geçip Gidiyor,Rock
50,Can Kırıkları,2005,Hoşçakal,Balad
51,Benim Adım Orman,2009,Merhaba,Rock
52,Benim Adım Orman,2009,Benim Adım Orman,Rock
53,Benim Adım Orman,2009,Yalnız,Balad
54,Benim Adım Orman,2009,İstiklal Caddesi Kadar,Balad
55,Benim Adım Orman,2009,Eski,Balad
56,Benim Adım Orman,2009,Mahalle,Rock
57,Benim Adım Orman,2009,Ateşe Yakın,Rock
58,Benim Adım Orman,2009,Serapmış,Balad
59,Benim Adım Orman,2009,İnsanlık,Rock
60,Benim Adım Orman,2009,Bazı Aşklar,Balad
61,Benim Adım Orman,2009,Uçurtma,Balad
62,Od,2013,Kalbim Mezar,Rock
63,Od,2013,Birileri Var,Rock
64,Od,2013,Od,Metal
65,Od,2013,Savaş Boyası,Metal
66,Od,2013,Bin Yıldır,Rock
67,Od,2013,Ya Hep Ya Hiç,Rock
68,Od,2013,Utangaç,Balad
69,Od,2013,Yarım,Balad
70,Od,2013,Girdap,Metal
71,Od,2013,Çok Yorgunum,Balad
72,Parmak İzi,2018,Şarkılar Yalan Söylemez,Rock
73,Parmak İzi,2018,Başka Bir Yol Var,Rock
74,Parmak İzi,2018,Koridor,Rock
75,Parmak İzi,2018,Küllerinden,Balad
76,Parmak İzi,2018,Vicdan,Balad
77,Parmak İzi,2018,Son Tango,Pop-Rock
78,Parmak İzi,2018,Parmak İzi,Rock
79,Parmak İzi,2018,Sözde Namus,Rock
80,Parmak İzi,2018,Kıramazsın,Balad
81,Parmak İzi,2018,Koyu,Balad
82,Albüm Dışı (Single),2000,Değirmenler,Balad
83,Albüm Dışı (Single),2005,Gönülçelen,Pop-Rock
84,Albüm Dışı (Single),2007,Ünzile,Balad
85,Albüm Dışı (Single),2011,Özgürce Yaşa,Rock
