No,Yıl,Yönetmen,Film,Ülke,Tür,Süre (dk),Önemi,IMDb,Başrol,Görsel
14,1963,Federico Fellini,Sekiz Buçuk,İtalya,Dram,138,Yaratıcı tıkanmayı anlatan öz düşünümsel başyapıt,8.0,Marcello Mastroianni,https://upload.wikimedia.org/wikipedia/en/4/46/8Mezzo.jpg
15,1966,Sergio Leone,İyi Kötü ve Çirkin,İtalya,Western,178,Spagetti westernin en ünlü örneği,8.8,Clint Eastwood,https://upload.wikimedia.org/wikipedia/en/4/45/Good_the_bad_and_the_ugly_poster.jpg
16,1968,Stanley Kubrick,2001: Bir Uzay Efsanesi,ABD-İngiltere,Bilim Kurgu,149,Bilim kurgu görselliğini yeniden tanımladı,8.3,Keir Dullea,https://upload.wikimedia.org/wikipedia/en/1/11/2001_A_Space_Odyssey_%281968%29.png
17,1970,Yılmaz Güney,Umut,Türkiye,Dram,100,Türk toplumsal gerçekçi sinemasının dönüm noktası,8.0,Yılmaz Güney,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Hopeful.jpg/330px-Hopeful.jpg
18,1972,Francis Ford Coppola,Baba,ABD,Suç-Dram,175,Gangster türünün ve Yeni Hollywood akımının zirvesi,9.2,Marlon Brando ve Al Pacino,https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg
19,1976,Martin Scorsese,Taksi Şoförü,ABD,Dram,114,Kent yalnızlığının ve şiddetin çarpıcı portresi,8.2,Robert De Niro,https://upload.wikimedia.org/wikipedia/en/3/33/Taxi_Driver_%281976_film_poster%29.jpg
20,1978,Zeki Ökten,Sürü,Türkiye,Dram,118,Göç ve toplumsal çözülmenin sinemasal anlatımı,7.9,Tarık Akan ve Melike Demirağ,https://upload.wikimedia.org/wikipedia/tr/d/d5/S%C3%BCr%C3%BCfilmi.jpg
21,1979,Francis Ford Coppola,Kıyamet,ABD,Savaş,147,Savaş sinemasının biçimsel sınırlarını genişletti,8.4,Martin Sheen ve Marlon Brando,https://upload.wikimedia.org/wikipedia/en/c/c2/Apocalypse_Now_poster.jpg
22,1982,Şerif Gören ve Yılmaz Güney,Yol,Türkiye,Dram,114,Altın Palmiye kazanan ilk Türk filmi,8.0,Tarık Akan ve Şerif Sezer,https://upload.wikimedia.org/wikipedia/tr/thumb/a/a9/Yol-film-1981.jpg/330px-Yol-film-1981.jpg
23,1982,Ridley Scott,Blade Runner,ABD,Bilim Kurgu,117,Siberpunk görselliğinin kurucu filmi,8.1,Harrison Ford,https://upload.wikimedia.org/wikipedia/en/9/9f/Blade_Runner_%281982_poster%29.png
24,1988,Giuseppe Tornatore,Sinema Cenneti,İtalya,Dram,155,Sinema sevgisini anlatan en bilinen yapıt,8.5,Philippe Noiret,https://upload.wikimedia.org/wikipedia/en/8/86/CinemaParadiso.jpg
25,1993,Steven Spielberg,Schindler'in Listesi,ABD,Tarihi Dram,195,Holokost belleğini sinemada kalıcılaştırdı,9.0,Liam Neeson,https://upload.wikimedia.org/wikipedia/en/3/38/Schindler%27s_List_movie.jpg
26,1994,Frank Darabont,Esaretin Bedeli,ABD,Dram,142,IMDb'nin en yüksek puanlı filmlerinden,9.3,Tim Robbins ve Morgan Freeman,https://upload.wikimedia.org/wikipedia/tr/thumb/e/e6/Esaretin-bedeli.jpg/330px-Esaretin-bedeli.jpg
27,1994,Quentin Tarantino,Ucuz Roman,ABD,Suç,154,Doğrusal olmayan anlatımı bağımsız sinemaya taşıdı,8.9,John Travolta ve Samuel L. Jackson,https://upload.wikimedia.org/wikipedia/en/3/3b/Pulp_Fiction_%281994%29_poster.jpg
28,1996,Yavuz Turgul,Eşkıya,Türkiye,Dram,128,Türk sinemasının yeniden doğuşunu başlattı,8.0,Şener Şen ve Uğur Yücel,https://upload.wikimedia.org/wikipedia/tr/f/f5/Eskiya_film.jpg
29,1999,Wachowski Kardeşler,Matrix,ABD,Bilim Kurgu,136,Dijital görsel efektlerde çığır açtı,8.7,Keanu Reeves,https://upload.wikimedia.org/wikipedia/en/d/db/The_Matrix.png
30,2001,Peter Jackson,Yüzüklerin Efendisi: Yüzük Kardeşliği,ABD-Yeni Zelanda,Fantastik,178,Fantastik sinemanın modern kilometre taşı,8.9,Elijah Wood ve Ian McKellen,https://upload.wikimedia.org/wikipedia/en/f/fb/Lord_Rings_Fellowship_Ring.jpg
31,2002,Nuri Bilge Ceylan,Uzak,Türkiye,Dram,110,Cannes Büyük Ödülü ile Türk sinemasını uluslararası alana taşıdı,7.7,Muzaffer Özdemir ve Mehmet Emin Toprak,https://upload.wikimedia.org/wikipedia/en/1/18/Uzak.png
32,2011,Nuri Bilge Ceylan,Bir Zamanlar Anadolu'da,Türkiye,Dram,157,Cannes Büyük Ödülü kazanan çağdaş başyapıt,7.8,Muhammet Uzuner ve Yılmaz Erdoğan,https://upload.wikimedia.org/wikipedia/tr/thumb/4/4b/Bir_Zamanlar_Anadoluda_afi%C5%9F.jpg/330px-Bir_Zamanlar_Anadoluda_afi%C5%9F.jpg
33,2019,Bong Joon-ho,Parazit,Güney Kore,Dram-Gerilim,132,En İyi Film Oscarı kazanan ilk yabancı dilde film,8.5,Song Kang-ho,https://upload.wikimedia.org/wikipedia/en/5/53/Parasite_%282019_film%29.png
