No,Takım,Yaşam Alanı,Kuş,Familya,Kanat Açıklığı (cm),Ağırlık (g),Beslenme,Göçmen mi,Anavatan,Bilimsel Adı,Yumurta Sayısı,Görsel
21,Gugukkuşusular,Ormanlık alanlar,Guguk Kuşu,Gugukgiller,58,110,Böcek ve tırtıl,Göçmen,Avrasya,Cuculus canorus,1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Cuckoo_%2851169010335%29.jpg/330px-Cuckoo_%2851169010335%29.jpg
22,Ağaçkakansılar,Ormanlar,Ağaçkakan,Ağaçkakangiller,38,90,Böcek ve larva,Yerli,Avrasya,Picidae,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Black-headed_Woodpecker_Picus_erythropygius_1200px.jpg/330px-Black-headed_Woodpecker_Picus_erythropygius_1200px.jpg
23,Papağansılar,Tropik ormanlar,Amazon Papağanı,Papağangiller,90,1000,Tohum ve meyve,Yerli,Güney Amerika,Amazona aestiva,3-4,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Amazona_parrots_collage.jpg/330px-Amazona_parrots_collage.jpg
24,Kartalsılar,Açık araziler,Şahin,Kartalgiller,120,900,Kemirgen ve kuş,Kısmi göçmen,Kuzey Yarımküre,Buteo buteo,2-4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Adlerbussard.jpg/330px-Adlerbussard.jpg
25,Doğansılar,Kayalık alanlar,Gökdoğan,Doğangiller,110,900,Kuş avcısı,Kısmi göçmen,Dünya geneli,Falco peregrinus,3-4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Falco_peregrinus_-_01.jpg/330px-Falco_peregrinus_-_01.jpg
26,Tavuksular,Ormanlık alanlar,Tavus Kuşu,Sülüngiller,160,5000,Hepçil,Yerli,Hindistan,Pavo cristatus,4-8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Peacock_on_tree_%2852077240794%29.jpg/330px-Peacock_on_tree_%2852077240794%29.jpg
27,Tavuksular,Çalılık ve tarlalar,Sülün,Sülüngiller,80,1200,Tohum ve böcek,Yerli,Asya,Phasianus colchicus,8-12,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Pheasant.jpg/330px-Pheasant.jpg
28,Kazsılar,Sulak alanlar,Yaban Kazı,Ördekgiller,165,3500,Otçul,Göçmen,Avrasya,Anser anser,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Graugans_Anser_Anser.jpg/330px-Graugans_Anser_Anser.jpg
29,Kazsılar,Göl ve bataklıklar,Yeşilbaş Ördek,Ördekgiller,90,1100,Hepçil,Kısmi göçmen,Kuzey Yarımküre,Anas platyrhynchos,8-13,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/%D0%9F%D0%B0%D1%80%D0%B0_%D1%83%D1%82%D0%BE%D0%BA_%D0%BA%D1%80%D1%8F%D0%BA%D0%B2_%28Anas_platyrhynchos%29%2C_%D0%9A%D0%BE%D0%BB%D0%BE%D0%BC%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5.jpg/330px-%D0%9F%D0%B0%D1%80%D0%B0_%D1%83%D1%82%D0%BE%D0%BA_%D0%BA%D1%80%D1%8F%D0%BA%D0%B2_%28Anas_platyrhynchos%29%2C_%D0%9A%D0%BE%D0%BB%D0%BE%D0%BC%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5.jpg
30,İbibiksiler,Açık araziler,İbibik,İbibikgiller,46,60,Böcek ve larva,Göçmen,Avrasya ve Afrika,Upupa epops,5-8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Upupa_epops_1_Luc_Viatour.jpg/330px-Upupa_epops_1_Luc_Viatour.jpg
31,Kartalsılar,Ormanlık alanlar,Atmaca,Kartalgiller,65,220,Kuş avcısı,Kısmi göçmen,Avrasya,Accipiter nisus,4-5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Sperber_%28Accipiter_nisus%29_male_-20200308_%282%29.JPG/330px-Sperber_%28Accipiter_nisus%29_male_-20200308_%282%29.JPG
32,Doğansılar,Açık araziler,Kerkenez,Doğangiller,75,200,Kemirgen ve böcek,Kısmi göçmen,Avrasya ve Afrika,Falco tinnunculus,3-6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Common_Kestrel_1.jpg/330px-Common_Kestrel_1.jpg
33,Baykuşsular,Kayalık ormanlar,Puhu,Baykuşgiller,170,3000,Kemirgen ve kuş,Yerli,Avrasya,Bubo bubo,2-4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Hubro_%28Bubo_bubo%29.JPG/330px-Hubro_%28Bubo_bubo%29.JPG
34,Baykuşsular,Açık araziler,Kukumav,Baykuşgiller,56,180,Böcek ve kemirgen,Yerli,Avrasya ve Afrika,Athene noctua,3-5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Mochuelo_Com%C3%BAn_%28_Athene_noctua_%29%281%29.jpg/330px-Mochuelo_Com%C3%BAn_%28_Athene_noctua_%29%281%29.jpg
35,Ötücü kuşlar,Dağlık alanlar,Kuzgun,Kargagiller,120,1200,Hepçil,Yerli,Kuzey Yarımküre,Corvus corax,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Corvus_corax_clarionensis%2C_Point_Reyes_National_Seashore.jpg/330px-Corvus_corax_clarionensis%2C_Point_Reyes_National_Seashore.jpg
36,Güvercinsiler,Yerleşim alanları,Kumru,Güvercingiller,50,180,Tohum,Yerli,Avrasya,Streptopelia decaocto,2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/2022-04-06_Streptopelia_decaocto%2C_Plovdiv%2C_Bulgaria_1.jpg/330px-2022-04-06_Streptopelia_decaocto%2C_Plovdiv%2C_Bulgaria_1.jpg
37,Güvercinsiler,Kentsel alanlar,Kaya Güvercini,Güvercingiller,67,350,Tohum ve kırıntı,Yerli,Avrasya ve Afrika,Columba livia,2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Columba_livia_%28Rock_Dove%2C_wild%29%2C_Duncansby_Head%2C_Caithness%2C_Scotland_1.jpg/330px-Columba_livia_%28Rock_Dove%2C_wild%29%2C_Duncansby_Head%2C_Caithness%2C_Scotland_1.jpg
38,Papağansılar,Çalılık ve kuraklık,Muhabbet Kuşu,Papağangiller,30,35,Tohum,Yerli,Avustralya,Melopsittacus undulatus,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Budgerigar-male-strzelecki-qld.jpg/330px-Budgerigar-male-strzelecki-qld.jpg
39,Ötücü kuşlar,Çalılık ve bahçeler,Kanarya,İspinozgiller,23,18,Tohum,Yerli,Kanarya Adaları,Serinus canaria,3-5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Serinus_canaria_-Parque_Rural_del_Nublo%2C_Gran_Canaria%2C_Spain_-male-8a.jpg/330px-Serinus_canaria_-Parque_Rural_del_Nublo%2C_Gran_Canaria%2C_Spain_-male-8a.jpg
40,Ötücü kuşlar,Ormanlık alanlar,İspinoz,İspinozgiller,26,24,Tohum ve böcek,Kısmi göçmen,Avrupa ve Asya,Fringilla coelebs,4-5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Fringilla_coelebs_EM1B1060_%2832855085667%29.jpg/330px-Fringilla_coelebs_EM1B1060_%2832855085667%29.jpg
41,Ötücü kuşlar,İğne yapraklı ormanlar,Çalıkuşu,Çalıkuşugiller,17,6,Böcek,Yerli,Avrasya,Regulus regulus,7-10,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Regulus_calendula1.jpg/330px-Regulus_calendula1.jpg
42,Tavuksular,Kayalık yamaçlar,Kınalı Keklik,Sülüngiller,50,600,Tohum ve böcek,Yerli,Avrasya,Alectoris chukar,8-12,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Alectoris-chukar-001.jpg/330px-Alectoris-chukar-001.jpg
43,Tavuksular,Tarla ve çayırlar,Bıldırcın,Sülüngiller,35,100,Tohum ve böcek,Göçmen,Avrasya ve Afrika,Coturnix coturnix,8-13,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/3_Japanese_quails_less_than_1_year_old.JPG/330px-3_Japanese_quails_less_than_1_year_old.JPG
44,Tavuksular,Ormanlık alanlar,Hindi,Sülüngiller,140,7000,Hepçil,Yerli,Kuzey Amerika,Meleagris gallopavo,10-14,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/20260428_tom_wild_turkey_matthaei_botanical_gardens_PD08952.jpg/330px-20260428_tom_wild_turkey_matthaei_botanical_gardens_PD08952.jpg
45,Pelikansılar,Göl ve kıyılar,Karabatak,Karabatakgiller,140,2500,Balık,Kısmi göçmen,Dünya geneli,Phalacrocorax carbo,3-4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/2021-05-05_Phalacrocorax_carbo_carbo%2C_Killingworth_Lake%2C_Northumberland_1-2.jpg/330px-2021-05-05_Phalacrocorax_carbo_carbo%2C_Killingworth_Lake%2C_Northumberland_1-2.jpg
46,Leyleksiler,Sulak alanlar,Gri Balıkçıl,Balıkçılgiller,185,1500,Balık ve kurbağa,Kısmi göçmen,Avrasya ve Afrika,Ardea cinerea,3-5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Grey_Heron_%2854990114762%29_%28cropped%29.jpg/330px-Grey_Heron_%2854990114762%29_%28cropped%29.jpg
47,Toysular,Bozkır ve tarlalar,Toy,Toygiller,240,10000,Hepçil,Yerli,Avrasya,Otis tarda,2-3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Dabao.jpg/330px-Dabao.jpg
48,Kazsılar,Sulak alanlar,Angıt,Ördekgiller,135,1300,Otçul,Göçmen,Avrasya,Tadorna ferruginea,8-12,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Ruddy_shelduck_David_Raju.jpg/330px-Ruddy_shelduck_David_Raju.jpg
49,Kırlangıçsılar,Açık araziler,Arı Kuşu,Arıkuşugiller,45,55,Böcek,Göçmen,Avrupa ve Afrika,Merops apiaster,5-8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/European_bee_eater.jpg/330px-European_bee_eater.jpg
50,Yalıçapkınısular,Akarsu kıyıları,Yalıçapkını,Yalıçapkınıgiller,25,40,Balık,Yerli,Avrasya,Alcedo atthis,6-7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Alcedo_caeruleocephala.jpg/330px-Alcedo_caeruleocephala.jpg
51,Ötücü kuşlar,Bahçe ve tarlalar,Saka,İspinozgiller,23,16,Tohum,Kısmi göçmen,Avrasya,Carduelis carduelis,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/072_Wild_European_goldfinch_at_the_Parc_Jura_vaudois_Photo_by_Giles_Laurent.jpg/330px-072_Wild_European_goldfinch_at_the_Parc_Jura_vaudois_Photo_by_Giles_Laurent.jpg
52,Ötücü kuşlar,Ormanlık ve bahçeler,Kızılgerdan,Sinekkapangiller,21,18,Böcek ve solucan,Kısmi göçmen,Avrupa,Erithacus rubecula,4-6,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Erithacus_rubecula_with_cocked_head.jpg/330px-Erithacus_rubecula_with_cocked_head.jpg
53,Ötücü kuşlar,Orman ve bahçeler,Baştankara,Baştankaragiller,24,18,Böcek ve tohum,Yerli,Avrasya,Parus major,7-12,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Parus_major_2_Luc_Viatour.jpg/330px-Parus_major_2_Luc_Viatour.jpg
54,Ötücü kuşlar,Orman ve bahçeler,Karatavuk,Ardıçkuşugiller,38,100,Hepçil,Kısmi göçmen,Avrasya,Turdus merula,3-5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D0%B4%D1%80%D0%BE%D0%B7%D0%B4_%28Turdus_merula%2C_per_aspera%29%2C_%D0%91%D0%B8%D1%82%D1%86%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BB%D0%B5%D1%81.jpg/330px-%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D0%B4%D1%80%D0%BE%D0%B7%D0%B4_%28Turdus_merula%2C_per_aspera%29%2C_%D0%91%D0%B8%D1%82%D1%86%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BB%D0%B5%D1%81.jpg
55,Ötücü kuşlar,Ormanlık alanlar,Sıvacı Kuşu,Sıvacıgiller,26,22,Böcek ve tohum,Yerli,Avrasya,Sitta europaea,6-8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sitta_europaea_wildlife_2_1.jpg/330px-Sitta_europaea_wildlife_2_1.jpg
56,Alkidler,Kıyı kayalıkları,Deniz Papağanı,Alkgiller,55,400,Balık,Kısmi göçmen,Kuzey Atlantik,Fratercula arctica,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Puffin_%28Fratercula_arctica%29.jpg/330px-Puffin_%28Fratercula_arctica%29.jpg
57,Kartalsılar,Açık araziler,Çaylak,Kartalgiller,175,1000,Leş ve avcılık,Göçmen,Avrupa,Milvus milvus,2-3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Milvus_milvus_%282011-04-17_Switzerland_Kanton_Schaffhausen_Gennersbrunn_2%29.jpg/330px-Milvus_milvus_%282011-04-17_Switzerland_Kanton_Schaffhausen_Gennersbrunn_2%29.jpg
58,Doğansılar,Açık ormanlık,Aladoğan,Doğangiller,80,220,Kuş ve böcek,Göçmen,Avrasya,Falco subbuteo,2-4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Eurasian_hobby_%28Falco_subbuteo%29_by_Shantanu_Kuveskar.jpg/330px-Eurasian_hobby_%28Falco_subbuteo%29_by_Shantanu_Kuveskar.jpg
59,Baykuşsular,Tarım ve harabeler,Peçeli Baykuş,Peçeli Baykuşgiller,90,350,Kemirgen,Yerli,Dünya geneli,Tyto alba,4-7,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Tyto_alba_close_up.jpg/330px-Tyto_alba_close_up.jpg
60,Yağmurkuşusular,Sulak çayırlar,Kızkuşu,Yağmurkuşugiller,70,220,Böcek ve solucan,Göçmen,Avrasya,Vanellus vanellus,3-4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Lapwing.jpg/330px-Lapwing.jpg
